,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
784,The Little One with Green Eyes,2021,Harry Potter & Tom Riddle | Voldemort,Gen,"In June of 1980, Voldemort successfully took control of the Magical Ministry. For eleven years, Magical Britain was finally at peace, only a few rebels fighting against the New Ministry. Voldemort stepped out of the limelight after the end of the war, choosing instead to focus on something important: HissonInferius. A four year old Inferius who goes by the name 'Little One' and is completely adored by everyone who meets him. But Little One holds a lot of mysteries. Who is he? How did he die? But most pressing, what is his relationship to the Dark Lord?Everything is fine, of course, until the Order decide to take Little One away from a very protective and possessive Dark Lord.And somehow, that is the least of the Dark Lord's problems. Add one clingy, annoying Death and one all-seeing, secretive Fate and you might just have a story!Follow Voldemort as he struggles through protecting his child, fighting off a very persistent Death, running an entire country, and for Merlin's saKE CAN HEPLEASE BEAT FATE AT ONE BLOODY GAME OF CHESS?????DO NOT REPOST/COPY/BIND THIS FANFICTION! IF THIS IS POSTED ANYWHERE THAT IS NOT AO3, I DID NOT ALLOW IT. 2/27/24",English,"146,583","1,295",53/53,"7,372","2,237","286,840"
785,The Man Who Lived,2017,Draco Malfoy/Harry Potter,M/M,"Draco breaks a cup, and one thing leads to another. A story of redemption, tattoos, dreams, mistakes, green eyes, long conversations, and copious amounts of coffee.Set in New York twelve years after the war.",English,"253,826","2,595",42/42,"7,366","3,163","239,232"
786,Waiting to Divide,2013,Harry Potter/Severus Snape,M/M,"Harry always thought soul mates were the domain of overly-soppy romantics. What he didn't realise was that they were very real, very dangerous, and very inconvenient...especially when your soul mate is the very dead Severus Snape. Fortunately, with the help of his friends and a Time Portal, he's able to get past that pesky obstacle...and finds his life completely changed.",English,"22,674",166,1/1,"7,365","1,562","93,466"
787,What Souls Are Made Of,2022,Harry Potter/Tom Riddle | Voldemort,F/M,"A mysterious object in Bellatrix's vault sends Harry, Ron and Hermione spinning into the past and to a Hogwarts like none they know.Posing as students, Harry catches the eye of the Head Boy, Tom Riddle, who is nothing like the Voldemort of the future. He's charming and sly and manipulative; both brillant and deadly.It isn’t long before they’re tangled in a game more intricate than anything before. A game of heightened stakes, of tension, and the odds are stacked against Harry. With the threads of the future unravelling, can Harry make it out intact? And what is the cost, of truly getting close to Tom?",English,"277,747",885,51/51,"7,364","2,345","252,356"
788,uvidimsya zavtra,2020,Harry Potter/Tom Riddle | Voldemort,M/M,"In which Harry realises he owes the wizarding world nothing and runs before he can compete in the Triwizard Tournament. It may cost him his magical core, but the price of freedom is worth it.Translation details in the chapter notes <3",English,"6,169",178,2/2,"7,361","1,837","53,539"
789,On Call,2013,Draco Malfoy/Harry Potter,M/M,"For the rest of his life, Draco will blame what happened this Christmas on the fact that he hadn't thought to bring a book.",English,"4,271",74,1/1,"7,353",703,"112,777"
790,Touched ,2020,Marcus Flint/Harry Potter,M/M,"Harry has been blamed for being the Heir of Slytherin, and it seems like everyone in the school is against him. All he wants is to not be Harry Potter and have a normal life for once. A wish that is impossible when you are known as the Boy-Who-Lived.This will be very different from my ""Serpent Lies in Crimson."" This is a slash.I don't own any of the Harry Potter books or movies. As I could never match the genius that is J.K. Rowling.Enjoy",English,"120,579",818,37/37,"7,344","2,653","270,854"
791,"In Time, Once Again",2012,Harry Potter/Severus Snape,M/M,"After the Battle of Hogwarts, Harry uses a Time Turner in an attempt to rewrite history. However, something goes wrong, and he’s thrown back fourteen years into the past.",English,"29,565",259,1/1,"7,344","1,392","161,850"
792,The Long Game,2023,Regulus Black/James Potter,F/F,"“Okay, okay. You’ll find someone to pine after soon enough, though, I’m sure.” Sirius gets up and goes to James’ overflowing chest of drawers, pulling one open to look for a more suitable pair of jeans.James goes back to looking in the mirror.“I don’t pine,” He mutters.***British modern high school AU where James is the popular jock/ football star and Regulus is the quiet artist who couldn't be less bothered by status or popularity.They work on a project together. Pining ensues.",English,"250,008","1,161",27/27,"7,341","2,413","324,042"
793,There All the Honour Lies,2015,Loki (Marvel)/Harry Potter,M/M,"Harry lets all of Asgard know what he thinks of their views on honour, war and magic.",English,"1,125",98,1/1,"7,337","1,005","66,434"
794,There's No I In Team,2016,Draco Malfoy/Harry Potter,M/M,"When Draco's babysitter cancels on him, he has no option but to bring his son to work, despite the fact he has an extremely important day ahead of him. Rescue comes from the most unlikely of places, and Draco ends up having a day he never could have planned, or hoped for.Muggle AU, smut. Birthday present!",English,"13,389",230,1/1,"7,329","1,375","94,070"
795,The Venice Job,2007,Draco Malfoy/Harry Potter,M/M,"Harry Potter was one of the youngest Aurors in history. He was the Boy Who Lived, and the Boy Who Lived Again. He loved Guinness and Quidditch, and hated pineapple. He wrote letters to Hagrid every Thursday, and on Sundays, he visited Hermione and Ron. Harry Potter was also not gay.",English,"25,774",296,10/10,"7,329","1,621","106,102"
796,Switch With Me,2022,Regulus Black/James Potter,M/M,"Sirius and Regulus are twins. They use their looks and the fact that they are in different houses to trick teachers and friends.One Tuesday, Sirius has a test coming up and needs regulus to take it for him.Following problem: Their respective boyfriends have no idea the brothers switched. And one brother doesn't even know about the other's boyfriend.What could go wrong?",English,"3,670",63,1/1,"7,324","1,110","48,754"
797,Unlikely,2017,Harry Potter/Tom Riddle,M/M,"“Like all magical people, you will get a soul mark when you get your wand,” the genial wizard explained after calmly lighting Tom’s wardrobe and sense of self-preservation on fire. “Unless, of course, your soulmate is younger than you. Then your soul mark shall appear whenever theirs does.They are always on one’s chest, right over your heart. Usually, they are somewhat vague and take time to interpret correctly. Phrases such as ‘Rival to Lover’, or ‘Instantaneous Love’… But they always make sense in the end, and it becomes apparent whom the great, wild magic intended you to be with.”-Tom Marvolo Riddle lived his entire, long life thinking that he - Lord Voldemort - was the exception to love.Harry learned at eleven that he would never escape the damnation of Tom Marvolo Riddle.",English,"2,438",208,1/1,"7,319","1,190","57,888"
798,Draco Malfoy and the Truth of the Heart,2021,Draco Malfoy/Harry Potter,M/M,"Dumbledore, throughout his long, colourful life, had made a lot of dubious decisions, but the choice to send four emotionally constipated teenagers on a Horcrux hunt across the country to save the Wizarding World might have easily taken the cake.Or: The Camping Trip From Hell, and everything that followed after.***This installment concludes the main arc of this story. Everything that follows after can be considered Bonus Material.***",English,"130,684","3,815",27/27,"7,311",772,"207,200"
799,Praeclarus Anguis,2017,Harry Potter/Tom Riddle,M/M,"“Tell me Harry, if I were to tell you that you could go back in time and prevent one event of your choice from ever occurring would you do so?”Go back in time? A chance to change the past for a better future? “If such were possible, Sir, I think it’s safe to say most people would.”“Would you be an exception?” Harry shook his head. “What would you change?”His immediate knee jerk reaction was that he’d go back to that horrible night in Godrick’s Hollow and prevent the murder of his parents, but when he opened his mouth to speak he stopped abruptly. The Head Master was staring at him from behind his half-moon glasses in a way that made him think that this question was in itself a sort of test. And with more examination the prospect seemed a bit selfish.At once Harry knew what he would do. “I would stop Tom Riddle from ever becoming Voldemort.”",English,"171,641",745,45/45,"7,293","1,793","336,942"
800,"Pathetic, Ordinary, Liars",2019,N/A,No category,"From midnightfuckingmayor on Tumblr:Dark AU where the trio is sorted into SlytherinHermione, who wants to use knowledge to change the worldRon, who wants to finally be free of his family’s shadowHarry, who wants to be great, to be admired, to befree(Title subject to change)",English,"68,699","1,086",23/23,"7,285","1,735","162,532"
801,Love a Lie,2022,Hermione Granger/Draco Malfoy,F/M,"Malfoy’s hand is unforgiving against her own, squeezing hard enough that it aches. Hermione digs her nails in, knowing the sensitive expanse of his pale skin will be marked for hours.A fair trade, considering the heavy diamond ring on her finger that feels like a shackle. Her hand and arm still tingle from the binding magic, and she can’t risk looking down at it. She knows if she does, she’ll remember the gold strand that wrapped around her skin, tying them together for the rest of their miserable lives.",English,"20,169",288,4/4,"7,283","2,000","142,167"
